"ANO";"Componente";"P_Explicado";"Base"
2003;"comp 1";48,1571139763692;1
2003;"comp 2";6,63876351630245;1
2003;"comp 3";5,14248051265133;1
2003;"comp 4";3,40330387496404;1
2003;"comp 5";2,71690506748193;1
2003;"comp 6";2,4288531854624;1
2003;"comp 7";2,1559469358415;1
2003;"comp 8";1,82812158485555;1
2003;"comp 9";1,50491628234485;1
2003;"comp 10";1,42196947955901;1
2003;"comp 11";1,30254971543495;1
2003;"comp 12";1,24345477355493;1
2003;"comp 13";1,2092913887502;1
2003;"comp 14";1,17328817015467;1
2003;"comp 15";1,06696388725402;1
2003;"comp 16";0,995863036459008;1
2003;"comp 17";0,957360663975756;1
2003;"comp 18";0,889906981731214;1
2003;"comp 19";0,874941294611038;1
2003;"comp 20";0,813384922044404;1
2003;"comp 21";0,771017294505527;1
2003;"comp 22";0,740502523156848;1
2003;"comp 23";0,702755901934421;1
2003;"comp 24";0,629664243500571;1
2003;"comp 25";0,611815433619733;1
2003;"comp 26";0,552981372764759;1
2003;"comp 27";0,533948479596965;1
2003;"comp 28";0,526012203043714;1
2003;"comp 29";0,478782468218943;1
2003;"comp 30";0,451937622058177;1
2003;"comp 31";0,434423878799704;1
2003;"comp 32";0,415860012642954;1
2003;"comp 33";0,398788711492832;1
2003;"comp 34";0,370708432658912;1
2003;"comp 35";0,356166095062365;1
2003;"comp 36";0,345298364310884;1
2003;"comp 37";0,321880966428839;1
2003;"comp 38";0,299450238210334;1
2003;"comp 39";0,292576833979971;1
2003;"comp 40";0,288066705262882;1
2003;"comp 41";0,258000659424892;1
2003;"comp 42";0,248565348590815;1
2003;"comp 43";0,245361322971827;1
2003;"comp 44";0,234581972689563;1
2003;"comp 45";0,206120829303858;1
2003;"comp 46";0,204707791983697;1
2003;"comp 47";0,191592808735973;1
2003;"comp 48";0,184001968676769;1
2003;"comp 49";0,179890178890967;1
2003;"comp 50";0,161337870179812;1
2003;"comp 51";0,149575787692899;1
2003;"comp 52";0,142873652053412;1
2003;"comp 53";0,139973522656046;1
2003;"comp 54";0,136396099412912;1
2003;"comp 55";0,128323275504499;1
2003;"comp 56";0,122061945002786;1
2003;"comp 57";0,120376807952899;1
2003;"comp 58";0,106173587325421;1
2003;"comp 59";0,105203855276668;1
2003;"comp 60";0,0924245755899059;1
2003;"comp 61";0,0903709637584457;1
2003;"comp 62";0,0878707065589592;1
2003;"comp 63";0,0803458888349412;1
2003;"comp 64";0,0770863752803405;1
2003;"comp 65";0,0743275409754577;1
2003;"comp 66";0,0681263306386456;1
2003;"comp 67";0,0677042384920919;1
2003;"comp 68";0,0631027199958862;1
2003;"comp 69";0,0606284689371341;1
